top - 15:37:15 up 4 days,  2:05,  1 user,  load average: 2.79, 2.01, 2.02
Tasks: 365 total,   2 running, 341 sleeping,  22 stopped,   0 zombie
%Cpu(s): 33.3 us,  4.5 sy,  0.0 ni, 60.6 id,  1.5 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7848.4 total,    359.3 free,   5789.9 used,   1699.1 buff/cache
MiB Swap:   2048.0 total,    102.1 free,   1945.9 used.    547.5 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1609 art       20   0  314292   2620   1372 S   0.0   0.0   0:00.65 gvfs-udisks2-vo
 221101 art       20   0   12200   2616   1912 T   0.0   0.0   0:00.06 top
    256 root      19  -1   69128   2520   1176 S   0.0   0.0   0:29.18 systemd-journal
   1848 art       20   0  193480   2456    880 S   0.0   0.0   0:01.12 ibus-x11
   1921 art       20   0  314112   2304   1276 S   0.0   0.0   0:00.26 gvfsd-trash
   1550 root      20   0  314912   2208   1832 S   0.0   0.0   0:00.27 gdm-session-wor
   6117 art       20   0  405692   2200      0 S   0.0   0.0   0:17.03 kglobalaccel5
   1967 art       20   0  231800   2144    864 S   0.0   0.0   0:00.03 gsd-disk-utilit
   1792 art       20   0  410832   2092    716 S   0.0   0.0   0:00.97 gnome-session-b
   6108 art       20   0  549468   2040      0 S   0.0   0.0   0:29.55 kactivitymanage
   1404 colord    20   0  246628   2008   1000 S   0.0   0.0   0:00.65 colord
 158513 art       20   0  465120   1948    856 S   0.0   0.0   0:00.72 seahorse
    878 root      20   0   17776   1920   1480 S   0.0   0.0   0:05.26 systemd-logind
   1899 art       20   0  821476   1836    876 S   0.0   0.0   0:01.37 evolution-addre
   1965 art       20   0  340992   1792    188 S   0.0   0.0   0:01.21 gsd-wacom
 209703 art       20   0    9040   1732   1324 t   0.0   0.0   0:00.00 a.out
    933 root      20   0  315288   1692    548 S   0.0   0.0   0:01.98 ModemManager
    726 systemd+  20   0   28244   1660    952 S   0.0   0.0   0:23.50 systemd-resolve
    837 root      20   0  231624   1660   1220 S   0.0   0.0   1:20.81 iio-sensor-prox
   6374 art       20   0  416016   1588      0 S   0.0   0.0   0:13.98 klauncher
   1884 art       20   0 1380188   1568    412 S   0.0   0.0   0:02.05 evolution-calen
   1949 art       20   0  464788   1536    280 S   0.0   0.0   0:16.96 gsd-sharing
   1888 art       20   0  156464   1508    912 S   0.0   0.0   0:00.16 dconf-service
